|Item description|functional||brand|subbrand|variant|content|content_uom
644|Крабовые палочки "Vici" 240 г|Крабовые палочки|0|Vici|||240|г
645|Крахмал картофельный "Nordic" 500 г карт/кор.|Крахмал картофельный|1|NordiC|||500|г
646|Крахмал картофельный "Preston" Арикон 200 г пакет 38438|Крахмал картофельный|0|Preston||Арикон|200|г
647|Крахмал картофельный "Распак" 200 г пакет|Крахмал картофельный|0|Распак|||200|г
648|Креветки "Marisol" 90 в панцире 500 г|Креветки|1|Marisol|||90|г
649|Крем-гель для душа "Dove" Укрепляющий  250 мл|Крем-гель для душа|1|Dove||Укрепляющий|250|мл
650|Крем-мыло "Dove" fresh energise Заряд энергии 75 г|Крем-мыло|1|Dove||fresh energise Заряд энергии|75|г
651|Крем-мыло "Dove" отшелушивающее 75 г|Крем-мыло|0|Dove||отшелушивающее|75|г
652|Крем-мыло "Dove" Прикосновение свежести 75 г|Крем-мыло|0|Dove||Прикосновение свежести|75|г
653|Крем-мыло "Nivea" Жемчужная красота с экстрактом жемчуга 100 г|Крем-мыло|0|Nivea||Жемчужная красота с экстрактом жемчуга|100|г
654|Круассан "7 Days" ванильный крем mini 200 г|Круассан|1|7 Days||ванильный крем mini|200|г
655|Круассан "7 Days" вишня mini 200 г|Круассан|0|7 Days||вишня mini|200|г
656|Круассан "7 Days" какао mini 200 г|Круассан|0|7 Days||какао mini|200|г
657|Круассан "7 Days" карамель mini 200 г|Круассан|0|7 Days||карамель mini|200|г
658|Круассан "7 Days" клубника mini 200 г|Круассан|0|7 Days||клубника mini|200|г
659|Круассан "7 Days" клубника mini 65 г|Круассан|0|7 Days||клубника mini|65|г
660|Круассан "7 Days" с кремом вареная сгущенка mini 200 г|Круассан|0|7 Days||с кремом вареная сгущенка mini|200|г
661|Крупа "Перловая" 900 г (Судзиловский з-д)|Крупа|1|Перловая|||900|г
662|Крупа гречневая "Гречушкин" ядрица 900 г|Крупа гречневая|1|гечушкин||ядрица|900|г
663|Крупа гречневая "Мистраль" ядрица 900 г|Крупа гречневая|0|Мистраль||ядрица|900|г
664|Крупа манная "Ангстрем" 800г|Крупа манная|1|Ангстрем|||800|г
665|Крупа манная "Гречушкин" 800 г|Крупа манная|0|гечушкин|||800|г
666|Кукуруза "Bonduelle" сладкая 170 г ж/б|Кукуруза|1|Bonduelle||штадкая|170|г
667|Кукуруза "Bonduelle" сладкая 340 г ж/б|Кукуруза|0|Bonduelle||штадкая|340|г
668|Кукуруза "Globus" деликатесная 170 г ж/б|Кукуруза|0|Globus||деликатесная|170|г
669|Кукуруза "Globus" деликатесная 340 г ж/б|Кукуруза|0|Globus||деликатесная|340|г
670|Кукуруза "Зеленый Великан" 340 г ж/б|Кукуруза|0|Зеленый Великан|||340|г
671|Кукуруза "ЭКО" деликатесная 165 г ж/б|Кукуруза|0|ЭКО||деликатесная|165|г
672|Кукуруза "ЭКО" деликатесная 340 г ж/б|Кукуруза|0|ЭКО||деликатесная|340|г
673|Кумкумит "Баги" д/удал. накипи и ржавчины 350 мл|Кумкумит|1|Баги||д/удал. накипи и ржавчины|350|мл
674|Курага "Seeberger" экстра крупная 200 г|Курага|1|Seeberger||экстра крупная|200|г
675|Куриные грудки "Лентяй" с овощами и сметанным соусом 350 г/карт.кор|Куриные грудки|1|Лентяй||с овощами и сметанным соусом|350|г
676|Куриные грудки "Сытоедов" в тесте с картофельным пюре 350 г|Куриные грудки|0|Сытоедов||в тесте с картофельным пюре|350|г
677|Курица "Сытоедов" в кисло-сладком соусе с рисом и кунжутом 350 г карт/кор|Курица|1|Сытоедов||в кисло-сладком соусе с рисом и кунжутом|350|г
678|Лечо " Верес" болгарское 530 г ст/б|Лечо|1|Верес||болгарское|530|г
679|Ложка однораз. столовая "Мистерия" белая 100 шт|Ложка однораз. столовая|1|Мистерия||белая|100|шт
680|Ложка однораз. чайная "Мистерия" белая 200 шт|Ложка однораз. чайная|1|Мистерия||белая|200|шт
681|Майонез "Calve"  Premium Quality Классический 230 мл пакет|Майонез|1|Calve|Premium Quality|Классический|230|мл
682|Майонез "Calve"  Premium Quality Легкий 230 мл пакет|Майонез|0|Calve|Premium Quality|Легкий|230|мл
683|Майонез "Calve"  Premium Quality Оливковый 200 мл пакет|Майонез|0|Calve|Premium Quality|Оливковый|200|мл
684|Майонез "Calve"  Premium Quality Постный 230 мл пакет|Майонез|0|Calve|Premium Quality|Постный|230|мл
685|Майонез "Hellmann s" Настоящий 5 л пл/ведро|Майонез|0|Hellmann s||Настоящий|5|л
686|Мак. изд. "Щебекинские" вермишель легкая 450 г|Мак. изд.|1|Щебекинские||вермишель легкая|450|г
687|Мак.изд. "Barilla" Fusilli 500 г|Мак.изд.|1|Barilla|Fusilli||500|г
688|Мак.изд. "Divella" Пенне риг 500 г|Мак.изд.|0|Divella||Пенне риг|500|г
689|Мак.изд. "Divella" Ригатони 500 г|Мак.изд.|0|Divella||Ригатони|500|г
690|Мак.изд. "Divella" Спагетти 500 г|Мак.изд.|0|Divella||Спагетти|500|г
691|Мак.изд. "Divella" Тальятелле 500 г|Мак.изд.|0|Divella||Тальятелле|500|г
692|Мак.изд. "Divella" Фетуччине 500 г|Мак.изд.|0|Divella||Фетуччине|500|г
693|Мак.изд. "Divella" Фузилли 500 г|Мак.изд.|0|Divella||Фузилли|500|г
694|Мак.изд. "Pasta Zara" Перья рифленые 500 г|Мак.изд.|0|Pasta Zara||Перья рифленые|500|г
695|Мак.изд. "Макфа" Вермишель тонкая  500 г|Мак.изд.|0|Макфа||Вермишель тонкая|500|г
696|Мак.изд. "Макфа" Перья любительские 450 г|Мак.изд.|0|Макфа||Перья любительские|450|г
697|Мак.изд. "Макфа" Ракушки  450 г|Мак.изд.|0|Макфа||Ракушки|450|г
698|Мак.изд. "Макфа" Рожки  450 г|Мак.изд.|0|Макфа||Рожки|450|г
699|Мак.изд. "Макфа" Рожки  500 г|Мак.изд.|0|Макфа||Рожки|500|г
700|Мак.изд. "Макфа" Спирали 450 г|Мак.изд.|0|Макфа||Спирали|450|г
701|Мак.изд. "Макфа" Трубочки  450 г|Мак.изд.|0|Макфа||Трубочки|450|г
702|Мак.изд. "Макфа" Улитки  450 г|Мак.изд.|0|Макфа||Улитки|450|г
703|Мак.изд. "Семейный обед" Перья  400 г|Мак.изд.|0|Семейный обед||Перья|400|г
704|Мак.изд. "Семейный обед" Спиральки 400 г|Мак.изд.|0|Семейный обед||Спиральки|400|г
705|Манго "Good food" сушеное 110 г пакет|Манго|1|Good Food||сушеное|110|г
706|Мармелад "Мармеландия" Апельсиновые,лимонные, грейпфруктовые дольки 330 г карт/к|Мармелад|1|Мармеландия||Апельсиновые,лимонные, грейпфруктовые дольки|330|г
707|Мармелад "Мармеландия" Ассорти 408 г|Мармелад|0|Мармеландия||Ассорти|408|г
708|Мармелад "Мармеландия" Клубничный нектар 250 гр карт/к|Мармелад|0|Мармеландия||Клубничный нектар|250|г
709|Мармелад "Мармеландия" Лимонные дольки 250 г карт/б|Мармелад|0|Мармеландия||Лимонные дольки|250|г
710|Мармелад "Мармеландия" Фруктовый коктель 250 г карт/кор|Мармелад|0|Мармеландия||Фруктовый коктель|250|г
711|Мармелад "Ударница" Дыня 325 г|Мармелад|0|Ударница||Дыня|325|г
712|Мармелад "Ударница" Малина 325 г|Мармелад|0|Ударница||Малина|325|г
713|Мармелад "Ударница" Персик 325 г|Мармелад|0|Ударница||Персик|325|г
714|Мармелад "Ударница" Черная смородина 325 г|Мармелад|0|Ударница||Черная смородина|325|г
715|Мармелад "Ударница" Яблоко 325 г|Мармелад|0|Ударница||Яблоко|325|г
716|Маслины "Corrado" Греческие Гигант черные с косточкой 420 г ж/б|Маслины|1|Corrado||геческие Гигант черные с косточкой|420|г
717|Маслины "Corrado" черные б/косточки 300 г ж/б|Маслины|0|Corrado||черные б/косточки|300|г
718|Маслины "Corrado" черные с косточкой 300 г ж/б|Маслины|0|Corrado||черные с косточкой|300|г
719|Маслины "Heraclio" черные с косточкой 300 г ж/б|Маслины|0|Heraclio||черные с косточкой|300|г
720|Маслины "ITLV" черные б/косточки 280 г ж/б|Маслины|0|ITLV||черные б/косточки|280|г
721|Маслины "ITLV" черные б/косточки 350 г ж/б|Маслины|0|ITLV||черные б/косточки|350|г
722|Маслины "ITLV" черные с косточкой 350 г ж/б|Маслины|0|ITLV||черные с косточкой|350|г
723|Маслины "Pikolin" черные с косточкой 300 г ж/б|Маслины|0|Pikolin||черные с косточкой|300|г
724|Маслины "Sol Negro" чёрные  с косточкой 480 г ж/б|Маслины|0|Sol Negro||чёрные  с косточкой|480|г
725|Маслины "Sol Negro" чёрные с косточкой 360 г ж/б|Маслины|0|Sol Negro||чёрные с косточкой|360|г
726|Маслины "VILANTA" черные с косточкой 300 г ж/б|Маслины|0|VILANTA||черные с косточкой|300|г
727|Маслины "Фернандо Гирон" чёрные с косточкой 360 г ж/б|Маслины|0|Фернандо Гирон||чёрные с косточкой|360|г
728|Масло арахисовое "Golden Kings"  нерафинированное 350 мл ст/б|Масло арахисовое|1|Golden Kings||нерафинированное|350|мл
