GTIN,BaseUnit,NetWeight,NetWeightUnitOfMeasure
7702018926411,BA,0.27,KGM
7702018926428,PI,0.54,KGM
7702018926435,PI,6.48,KGM
5013965442612,PI,90.72,KGM
7702018934997,BI,0.076,KGM
7702018935000,PI,0.76,KGM
7702018935024,PI,3.04,KGM
5013965446603,PI,152,KGM
7702018943401,BA,0.6,KGM
7702018943418,PI,3.6,KGM
5013965421242,PI,345.6,KGM
7702018949205,BI,0.103,KGM
7702018949212,PI,0.618,KGM
7702018021406,PI,0.414,KGM
7702018957576,PI,3.708,KGM
5013965465109,PI,92.7,KGM
7702018021413,PI,4.968,KGM
5013965550591,PI,278.208,KGM
7702018949236,BI,0.087,KGM
7702018949243,PI,0.522,KGM
7702018957590,PI,2.088,KGM
5013965465116,PI,73.08,KGM
7702018951376,BI,0.05,KGM
7702018958948,PI,0.3,KGM
7702018951383,PI,1.8,KGM
5013965482618,PI,108,KGM
7702018955497,BI,0.079,KGM
7702018955503,PI,0.395,KGM
7702018955510,PI,0.79,KGM
5013965495113,PI,47.4,KGM
7702018955527,BI,0.032,KGM
7702018955534,PI,0.32,KGM
7702018955541,PI,1.28,KGM
5013965489778,PI,122.88,KGM
7702018955558,BI,0.02,KGM
7702018955565,PI,0.2,KGM
7702018955572,PI,0.8,KGM
5013965489761,PI,76.8,KGM
7702018958603,BI,0.02,KGM
7702018958610,PI,0.12,KGM
7702018958627,PI,0.72,KGM
5013965517228,PI,43.2,KGM
7702018959709,BI,0.05,KGM
7702018959716,PI,0.5,KGM
7702018959723,PI,2,KGM
5013965447464,PI,100,KGM
7702018959730,BA,0.408,KGM
7702018959747,PI,2.448,KGM
5013965447471,PI,146.88,KGM
7702018976430,BI,0.345,KGM
7702018976447,PI,2.07,KGM
5013965483035,PI,99.36,KGM
7702018976614,BI,0.23,KGM
7702018976621,PI,1.38,KGM
5013965480010,PI,66.24,KGM
7702018976676,BI,0.49,KGM
7702018976683,PI,2.94,KGM
5013965480133,PI,105.84,KGM
7702018977925,BI,0.348,KGM
7702018977932,PI,3.48,KGM
5013965487996,PI,167.04,KGM
7702018977987,BI,0.115,KGM
7702018977994,PI,0.69,KGM
5013965506406,PI,34.5,KGM
7702018978472,BA,0.432,KGM
7702018978489,PI,2.592,KGM
5013965475498,PI,108.864,KGM
7702018979462,BI,0.345,KGM
7702018979479,PI,2.07,KGM
5013965476235,PI,99.36,KGM
7702018979509,BI,0.49,KGM
7702018979516,PI,2.94,KGM
5013965480058,PI,105.84,KGM
7702018979837,BI,0.056,KGM
7702018979844,PI,0.56,KGM
5013965477171,PI,67.2,KGM
7702018979851,BI,0.056,KGM
7702018979868,PI,0.56,KGM
5013965477164,PI,67.2,KGM
7702018979899,BI,0.04,KGM
7702018979905,PI,0.4,KGM
5013965477157,PI,60,KGM
7702018979912,BI,0.04,KGM
7702018979929,PI,0.4,KGM
5013965477188,PI,60,KGM
7702018998234,BI,0.072,KGM
7702018998241,PI,0.432,KGM
7702018998258,PI,1.728,KGM
5013965516573,PI,60.48,KGM
4600974000134,BI,,
4600974000158,BI,,
4600974000301,BI,,
4600974000325,BI,,
4600974000349,BI,,
4600974000370,BI,,
4600974000417,BI,,
4600974000493,BI,,
4600974000530,BI,,
4600974000554,BI,,
4600974000592,BI,,
4600974000615,BI,,
4600974000677,BI,,
4600974000684,BI,,
4600974000714,BI,,
4600974000738,BI,,
4600974000752,BI,,
4600974000769,BI,,
4600974000776,BI,,
4600974000783,BI,,
4600974000790,BI,,
4600974000806,BI,,
4600974000813,BI,,
4600974000837,BI,,
4600974000844,BI,,
4600974000851,BI,,
4600974000868,BI,,
4600974000875,BI,,
4600974000882,BI,,
4600974000929,BI,,
4600974000950,BI,,
4600974001032,BI,,
4600974001070,BI,,
4600974001094,BI,,
4600974001100,BI,,
4600974001124,BI,,
4600974001131,BI,,
4600974001155,BI,,
4600974001162,BI,,
4600974001179,BI,,
4600974001209,BI,,
4600974001292,BI,,
4600974001315,BI,,
4600974001339,BI,,
4600974001353,BI,,
4600974001377,BI,,
4600974001414,BI,,
4600974001438,BI,,
4600974001452,BI,,
4600974001476,BI,,
4600974001513,BI,,
4600974001599,BI,,
4600974001636,BI,,
4600974001698,BI,,
4600974001735,BI,,
4600974001896,BI,,
4600974001957,BI,,
4600974001995,BI,,
4600974002053,BI,,
4600974002091,BI,,
4600974002114,BI,,
4600974002138,BI,,
4600974002169,BI,,
4600974002183,BI,,
4600974002206,BI,,
4600974002220,BI,,
4600974002244,BI,,
4600974002268,BI,,
4600974002282,BI,,
4600974002312,BI,,
4600974002381,BI,,
4600974002398,BI,,
4600974002411,BI,,
4600974002435,BI,,
4600974002442,BI,,
4600974002466,BI,,
4600974002480,BI,,
4600974002527,BI,,
4600974002596,BI,,
4600974002633,BI,,
4600974002657,BI,,
4600974002671,BI,,
4600974002718,BI,,
4600974002732,BI,,
4600974002770,BI,,
4600974002794,BI,,
4600974002855,BI,,
4600974002893,BI,,
4600974002992,BI,,
4600974003012,BI,,
4600974003036,BI,,
4600974003050,BI,,
4600974003098,BI,,
4600974003173,BI,,
4600974003180,BI,,
4600974003197,BI,,
4600974003210,BI,,
4600974003258,BI,,
4600974003272,BI,,
4600974003296,BI,,
4600974003319,BI,,
4600974003357,BI,,
4600974003395,BI,,
4600974003418,BI,,
4600974003470,BI,,
4600974003500,BI,,
4600974003517,BI,,
4600974003531,BI,,
4600974003555,BI,,
4600974003616,BI,,
4600974003630,BI,,
4600974003678,BI,,
4600974003715,BI,,
4600974003753,BI,,
4600974003777,BI,,
4600974003807,BI,,
4600974003814,BI,,
4600974003838,BI,,
4600974003876,BI,,
4600974003913,BI,,
4600974003937,BI,,
4600974003975,BI,,
4600974004095,BI,,
4600974004118,BI,,
4600974004156,BI,,
4600974004194,BI,,
4600974004279,BI,,
4600974004354,BI,,
4600974004408,BI,,
4600974004491,BI,,
4600974004538,BI,,
4600974004552,BI,,
4600974004736,BI,,
4600974004774,BI,,
4600974004811,BI,,
4600974004897,BI,,
4600974004934,BI,,
4600974004972,BI,,
4600974005016,BI,,
4600974005030,BI,,
4600974005092,BI,,
4600974005177,BI,,
4600974005191,BI,,
4600974005238,BI,,
4600974005337,BI,,
4600974005375,BI,,
4600974005436,BI,,
4600974005474,BI,,
4600974005498,BI,,
4600974005535,BI,,
4600974005573,BI,,
4600974005610,BI,,
4600974005924,BI,,
4600974005962,BI,,
4600974006006,BI,,
4600974006099,BI,,
4600974006105,BI,,
4600974006112,BI,,
4600974006129,BI,,
4600974006150,BI,,
4600974006181,BI,,
4600974006273,BI,,
4600974006303,BI,,
4600974006358,BI,,
4600974006372,BI,,
4600974006396,BI,,
4600974006488,BI,,
4600974006495,BI,,
4600974006501,BI,,
4600974006518,BI,,
4600974006525,BI,,
4600974006556,BI,,
4600974006587,BI,,
4600974006594,BI,,
4600974006600,BI,,
4600974006617,BI,,
